Level,Context,Sub-Context,Person,Text,Spanish
,,,B,Congratulations and thank you for inviting us anyway.,
,,,A,That's okay. Have a good one!,
,,,B,You too. ,
A2,Making invitations,Wedding RSVP,A,"Hi Rachel, did you get my wedding invitation?",
,,,B,"I did, yes.",
,,,A,I didn't recieve your RSVP yet.,
,,,B,"I don't know if I can make it yet, I have to travel a lot for work.",
,,,A,"I'm booking the catering next week, so can you get back to me as soon as possible?",abastecimiento
,,,B,"Let me check my schedule, what was the date again?",calendario
,,,A,March 18th.,
,,,B,That fits perfectly actually/ It may well be possible/ I have to check,
,,,A,"While I have you, which meal would you like?",
,,,B,"I'll have the vegetarian options please, if you don't mind.",vegetariana(feminine) | vegetariano(masculine)
,,,A,"Thanks so much, see you soon!",
,,,B,Look forward to it!,
A2,Cross-cultural experiences,Omelette,A,What is this?,
,,,B,It's a Tortilla.,
,,,A,It looks like an omelette.,tortilla
,,,B,"Yes, it's an egg and potato omelette. Do you like it?",
,,,A,Yes I do. How do you make it?,
,,,B,"I didn't make it, my mum made it  for me. Would you like to take some home? I can put a piece in a container.",
,,,A,"Oh, that would be lovely. Remind me to return your container next time I come over.",
,,,B,"Don't worry, it's just an old takeaway box. It's clean.",caja para llevar
,,,A,"Excellent, is it recycleable?",reciclable
,,,B,"I think so, but you must check. ",
B2,Work life,Meet for drinks,A,"Hi I haven't seen you around, are you new?",
,,,B,"Hi, yeah I am! Yesterday was my first day.",
,,,A,No kidding! How are you finding it so far?,en serio
,,,B,Pretty good. Everyone is really nice and the workload is managable. ,carga de trabajo / manejable
,,,A,"Yeah, it's decent for the money. I'm Clare by the way, nice to meet you. ",decente
,,,B,Nice to meet you too. I'm Lucy. ,
,,,A,"So hey, some of us are going for drinks on Friday, would you like to join us? ",
,,,B,"Sure, what time?",
,,,A,8pm at the bar down the road. They have 2 for 1 cocktails all night so we're going to have fun! ,
,,,B,Oh great! I will see you guys there. ,
,,,A,"Awesome, see you there Lucy! ",
A2,Ordering food and drink,Cocktails,A,Hi there we would like to order 2 cocktails please.,
,,,B,Good evening. Here's the menu which one would you like?,
,,,A,I will have an espresso martini and my friend will have the pina colada.,
,,,B,"Great, coming right up. Are you going to be paying card or cash?",
,,,A,"Card, please. ",
,,,B,"There, these are ready for you. ",
,,,A,"We only ordered two, why are there 4 drinks?",
,,,B,"Oh, it is happy hour, which means all are cocktails are on a 2 for 1 offer. ",hora feliz
,,,A,"Wow, great thanks! ",
,,,B,You're welcome. Enjoy your night. ,
B1,Ordering food and drink,Ordering cocktails by barcode,A,"Hi there, can we order some cocktails please?",
,,,B,"Good evening, I'm sorry but we're only taking orders through our app at the moment. If you take a seat at your table you can scan the barcode and your drinks will be delivered right to your table. ",escanear el código de barras
,,,A,We have already waited half an hour for a table. Can't I just pay you and have my drinks?,
,,,B,"Unfortunately, not. It is a Friday night, we're extremely busy and this system ensures everyone gets their orders on time. ",el sistema asegura
,,,A,I understand that but it will be another hour until we get our drinks and I'm not willing to wait that long. ,
,,,B,"You're welcome to go somewhere else, but I can 'assure' you all bars operate under the same' policy' at the moment. ",asegurar / política
,,,A,We will see about that. ,
B2,Making travel arrangements,Disneyland,A,Hi John did you get my letter?,
,,,B,About your son's birthday party next week? ,
,,,A,Yeah that one. ,
,,,B,"Ah, unfortunately we won't be able to come. My wife planned a trip to Disneyland for the whole family, so we're going to be away all week.",
,,,A,A trip to Disneyland? In the middle of summer? You must have got a good deal. ,
,,,B,We did!  Kids under the age of 8 get free entry and we're staying in an 'Airbnb' so we're saving a lot on food and 'accomodation' too. ,"airebnb / 
airebnb / 
airebnb / alojamiento"
,,,A,"Ah, I've heard the parking can be 'tricky' if you're not staying inside the 'resort' though.",difícil/ complejo
,,,B,"No need for parking, the Airbnb is actually only a 15 minute walk from the park!",
,,,A,"Wow, you really thought about everything! Well, have a good time and I will see you when you're back.",
,,,B,"Thanks, we will. See you later! ",
B1,Making invitations,Offering help for Pink Unicorn Party,A,Hi Mary did you get my letter?,
,,,B,Hi! About your daughter's birthday party next week?,
,,,A,Yes that one. ,
,,,B,Of course! Me and the kids would be delighted to attend. What time does it start?,
,,,A,The party starts at 14:00.,
,,,B,Do you need help setting up?,
,,,A,I actually do. It's not easy organising a party for 20 kids. ,
,,,B,"Yeah I know, it's hard work. Do you need me to bring anything? Food, decorations?",
,,,A,"My daughter wanted a 'pink, unicorn theme' so if you have any pink decorations that would be great. ","rosa, tema de unicornio"
,,,B,I will see what I can do. Shall I meet you at your place at 12?,
,,,A,"Yeah, that will give us enough time. Thank you so much for this. ",
,,,B,"Oh, don't mention it! See you soon. ",
A2,Health,Visiting patient,A,Hi there I'm here to see Mr. Smith. ,
,,,B,"Good morning, I need the full name of the patient and the time he was taken in.",
,,,A,"David Smith, he was admitted yesterday around 9pm.",
,,,B,We are only accepting close relatives of Mr. Smith for visits at the moment. What is your relationship to the patient? ,
,,,A,I'm his wife.,
,,,B,Great Mrs. Smith I just need to see some ID.,
,,,A,Here you go. ,
,,,B,Thank you. His room is the second door on the left at the end of the corridor. ,
,,,A,How is he doing? Is he eating normally? ,
,,,B,"Yes, he had his breakfast this morning everything seems good. The doctor is just 'making his rounds' so you will be able to talk to him about this in more detail. ",haciendo sus rondas
B1,Work life,Job offer,A,"(phone conversation) Good morning, am I speaking to Lucy?",
,,,B,"Hi, yes that's me. ",
,,,A,"Hi Lucy. I'm calling from H&M head office, following your interview we are delighted to offer you a position. Would you be able to start on Monday?",
,,,B,"That's brilliant news! I had to give 2 weeks 'notice' at work, so I can start on Monday in 2 weeks.",darse cuenta
,,,A,"That's perfect. When you come in ask for me at 'reception', my name is Tim Brown. Can you please bring your passport so we can get the necessary paperwork done.",recepción
,,,B,Yes I will do. Thank you so much again. What time should we meet?,
,,,A,How about 10 am?,
,,,B,That's perfect. Is there anything else I should bring? And is there a 'dress code' or 'uniform'? ,código de vestimenta / uniforme
,,,A,"If you have an 'insurance card/ national insurance number' bring that along too. There's no uniform but dress smartly. Blazer, black trousers, basic office 'attire'. ",tarjeta de seguro / número de seguro nacional / atuendo
,,,B,"Okay, thank you so much. See you soon!",
,,,A,"My pleasure Lucy, welcome to the team. Bye! ",
B1,Housing conditions,Delivery of packages,A,Hello? who is it?,
,,,B,"Hi, it's your neighbour from number 5.",
,,,A,"Oh right, is everything okay?",
,,,B,"Yeah, a few weeks ago my package was delivered here, do you have it?",
,,,A,"I don't have any packages for anyone at the moment, no.",
,,,B,"It says here on the delivery email that it was delivered here, and this picture shows it at your door.",
,,,A,"Those are my feet, but I don't have that package, when was it?",
,,,B,About two weeks ago.,
,,,A,"I do remember that package, but number 8 came and collected it.",
,,,B,Why would she collect my package?,
,,,A,"Since I work from home, I collect the packages for the whole apartment block. I get 'at least' two for her a week. I'm not sure why she didn't deliver it to you when she saw it wasn't hers. I'm really sorry about that.",por lo menos
,,,B,"Okay, thank you for telling me. I'll go to her door and ask.",
,,,A,"I hope you find it, I'll be more careful next time.",cuidado
A2,Weather and weather conditions,Clothing for weather,A,"Hello, I'm back.",
,,,B,"Welcome home. 'Just in time', I'm about to leave now.",justo a tiempo
,,,A,"You should wear a jacket, it's cold today.",
,,,B,Is it? But it is sunny.,
,,,A,The sky is clear but it's very windy.,
,,,B,I'll bring a 'scarf' too.,bufanda
,,,A,Where are you going?,
,,,B,"I'm going to the supermarket, do you want anything?",
,,,A,"We don't have any milk, can you get some.",
,,,B,"Sure, see you in a bit.",
,,,A,Bye.,
B2,Socialising in the country,No show date,A,Hi Peter. How was your weekend?,
,,,B,Could have been better.,
,,,A,What happened?,
,,,B,I was supposed to go on' a date' but she 'ghosted' me.,una fecha / me desertÃ³
,,,A,That's awful.,
,,,B,"She seemed 'keen' but then on the day I just didn't hear from her at all. 'Such a shame' because we really clicked, we like the same music and we had a lot to talk about. ",entusiasta / Una pena
,,,A,Do you have a picture of her?,
,,,B,Here,
,,,A,"Oh wow, she looks like a model. Are you sure she wasn't a catfish.",
,,,B,"I didn't think about it, I guessed she was real when she agreed to meet up. You could be right.",
,,,A,"Best to just forget about it, 'there's plenty more fish in the sea.'",hay muchos mÃ¡s peces en el mar 
